Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nebraska,9495,10036,10626,11939,12600,13052,13676,14569,15336,16321,16810,17733,18146,19131,19886,21433,21695,22997,23946,25164,26354,27147,28987,30150,30806,31739,33820,35582,35517,36888,40793,41591,41320,43330,44821,43963
Nevada,11286,11692,12270,13055,13681,14298,14899,16048,17082,17803,18607,19738,20370,21302,22207,23076,23882,25272,26116,27411,28010,28251,29342,31084,33315,34858,35248,34345,32635,33709,34705,35586,34736,36907,39036,39478
New Hampshire,9786,10768,11687,13002,13921,14868,15968,17247,18133,18226,19031,19855,20208,21345,22279,23041,24167,26203,27421,30174,31873,32963,33706,35581,36388,38474,39474,40499,40851,42406,43859,45945,45241,46780,48377,49707
New Jersey,11151,12022,13056,14427,15215,16146,17137,18931,20298,21288,21646,23119,23607,24141,25473,26536,27803,29079,29987,32503,33503,34844,35951,37577,38400,41037,42824,44009,43978,44977,46327,48241,47867,50144,51939,53361
New Mexico,8434,9011,9703,10462,11126,11428,11658,12229,12919,13621,14304,15013,15701,16274,17125,17583,18152,18855,19101,20495,21751,22750,23679,24864,25944,27225,28309,29944,29748,30631,31708,32424,31516,33432,34374,34912
New York,10271,11128,12137,13418,14230,15147,15959,17643,18918,20387,20388,21441,21805,22380,23451,24398,25489,26569,27782,29630,30235,31345,32036,33335,34300,36548,38831,39596,40493,41724,43275,45648,45107,46789,48446,50730
North Carolina,8053,8653,9294,10404,11040,11772,12434,13536,14479,15233,15728,16890,17602,18291,19145,19992,20941,21815,22537,23567,23906,24421,25380,27195,28439,30111,31557,33211,32262,32040,32618,34756,33676,35336,36627,37258
North Dakota,9103,9907,10372,11181,11628,11990,12444,11524,13127,14408,14611,16054,16100,17468,17312,19382,18815,20796,21195,23150,23578,24559,26937,27191,28555,29487,32350,35811,35883,39175,42447,48846,46872,49079,47409,46727
Ohio,9248,9828,10429,11591,12268,12872,13343,14338,15301,16176,16482,17475,18032,18925,19689,20384,21443,22541,23275,24413,25090,25888,26880,27910,28510,29786,30874,31969,31820,32625,34506,35934,36118,37630,38921,39541
Oklahoma,9374,10031,10340,11213,11721,12126,12089,12775,13583,14141,14590,15373,15833,16355,16905,17660,18359,19124,19434,20932,22129,22965,24135,25965,27927,30471,31036,34154,32081,33180,34974,37211,38555,40765,39493,37420
Oregon,9376,9687,10453,11324,11818,12324,12874,13984,14824,15766,16146,16903,17647,18458,19501,20532,21246,22175,22668,24061,24781,25268,26110,27419,28108,30115,31230,32093,31580,32029,33118,34758,34621,36758,38814,39828
Pennsylvania,9447,10195,10821,11713,12441,13096,13755,14901,16067,17004,17697,18570,19179,19722,20493,21374,22290,23357,24297,25944,27047,28092,29218,30940,31892,33216,34894,36100,36004,37392,38922,40647,40611,42332,43806,44967
Rhode Island,9530,10311,11165,12234,13063,13807,14449,15921,17257,17720,17880,18761,19483,19926,20960,21480,22418,23680,24572,26030,27269,28853,30509,32058,32736,34359,35768,36519,36574,38476,39472,41111,40544,42194,43765,44082
South Carolina,7708,8204,8829,9777,10327,10915,11527,12489,13321,14121,14580,15345,15929,16664,17381,18167,18948,19953,20673,21943,22508,23326,24050,25091,25979,27379,28520,29360,28850,29471,30651,32044,31870,33634,35087,35765
South Dakota,8680,9084,9550,10911,11144,11675,12256,12748,13690,14927,15424,16468,16907,18106,18197,20057,20205,21798,22572,23971,24697,24977,27561,29336,30753,31838,34964,37046,36387,37945,40760,41040,40863,42255,43717,43677
Tennessee,8105,8623,9196,10233,10835,11553,12275,13293,14126,14941,15540,16719,17471,18201,19165,19802,20596,22301,22901,24072,24459,25420,26414,27762,28491,29643,30550,31501,31676,32886,34426,35998,35833,36994,38443,39357
Texas,9678,10386,11002,11911,12627,12831,12982,13802,14539,15451,15919,16943,17520,18094,18911,19802,21001,22292,23025,24468,25666,26147,26924,27831,29331,31280,32518,34581,33465,34756,36982,38959,38933,41057,41296,40764
Utah,8015,8439,8935,9752,10277,10666,11033,11677,12427,13121,13768,14427,15019,15644,16530,17503,18417,19256,19910,20929,21631,22335,22975,24129,25392,27386,28852,29836,28632,28972,30551,32185,32431,33975,35886,37096
Vermont,8562,9330,9966,10915,11695,12427,13219,14261,15482,15908,16218,17299,17810,18506,19318,20065,20873,22252,23496,25117,26706,27617,28972,30627,31056,32754,34253,36109,36497,37520,39155,40703,40832,42410,43895,44919
Virginia,9980,10764,11566,12771,13546,14377,15092,16336,17355,18028,18638,19534,20186,20910,21699,22402,23486,24548,25715,27476,28599,29785,31550,33414,34892,36670,38101,39128,39007,40107,41621,43438,42315,43950,45580,46156
Washington,10498,11261,12081,12866,13475,14246,14705,15708,16794,17803,18699,19714,20329,20919,21662,22728,23859,25426,26387,28089,28892,29742,31015,33115,33713,35865,38080,39663,38255,38747,40062,42930,42953,45692,47432,49052
West Virginia,7566,8082,8370,9122,9600,9996,10369,11309,12039,12910,13462,14518,14971,15544,16017,16634,17306,18052,18589,19711,20936,21974,22353,23189,24107,25595,26319,27720,28344,29200,30477,31586,31224,32250,32886,33017
Wisconsin,9307,9909,10538,11593,12183,12833,13400,14134,15272,15961,16425,17521,18189,19093,19847,20674,21661,22957,23810,25258,26477,27579,28389,29592,30254,31733,32947,33906,33990,34796,36360,38068,37816,39465,40726,41387
Wyoming,10949,11336,11343,12060,12722,12912,12852,13428,14770,16083,16734,17439,18131,18656,19367,19712,21000,22219,23684,25240,26860,27962,29770,31546,33767,37793,39161,42262,39653,41057,44773,47097,46440,49920,50456,48698
