Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kentucky,41068.1,42183.7,44091.8,49344.1,51892.8,53199,56282.2,61850.5,65525.5,68412.1,71679.2,77531.4,81618.1,87645.7,91914.7,96616.8,104584,109656.2,115258.5,114293.2,117430.8,122193.1,126970.6,134194.1,142649,151006.8,154531.7,158099,155779.7,164605.5,169940.7,176302.3,182359.2,186523,191923.3,195342.2
Louisiana,77200.7,78066.8,76880.6,82622.6,84391.1,77107.4,78487.9,83195.9,87574.1,95177.1,96043.2,90889.7,95866.4,105118.9,112875.7,118807.2,116494.7,120429.3,125989.9,132809.9,137845.1,139537.9,154361.6,169873.2,197566.5,205799.5,206641.1,215068.9,206884.9,225677,228987.5,233623.1,228967.4,238679.5,234299.1,227226.7
Maine,11255,12114.7,13238.6,14897,16045.7,17382.4,19166.2,21371.1,22669.6,23256.1,23378.6,24329.4,25201.9,26543.5,28152.6,29255.9,30630.6,32166.6,34382.1,36841,38500.8,40183.7,41838.5,44526.3,45874.8,47921.1,49148.6,49973.8,50556.5,51710.7,51866.7,52874,53719,55795.4,57525.7,59753.9
Maryland,53117.1,56339,62205.1,69919.6,76878.3,83743.6,91380.5,101280.3,107444,112834.8,115427.6,119535.3,125515.4,133311.3,139070.1,145023.1,159335.8,169980.1,180207,192106.3,205449.8,218299.3,228690,246762,265929.5,279468.3,287872.8,296435.4,302507.3,316451.5,328058.4,334821.6,341255.3,352046.7,367096.5,384889.1
Massachusetts,77833,83777.1,93053.6,106424.9,116612.7,127155.3,138899.5,151625.5,158199.6,159504.9,160727.6,167434.9,173527.4,185710.2,196408.7,210630.5,237316.4,249154.2,264779.4,289926.5,296834.1,303967.1,315299.8,330669.9,345586,361266,379877.2,388583.2,391265.1,409762.5,425593.2,444329.8,454345.7,473279,502858,519407.6
Michigan,114676.3,115166.4,127754,143677.7,153604.8,163458,169236.9,180620.7,190626,193102.7,197717.2,212056.8,226368,251483.9,256614.9,270319.7,299843.2,312611,337561.2,351572.7,348529,362271.1,373839.3,381228.9,394229,395451,403735.8,386053.9,365591.7,386625.9,401105.4,418857.4,432717.6,449127.7,474301.4,491774.2
Minnesota,55404.3,57472,61950.4,71368.6,75831.7,79449.7,85364.8,91896.4,98312.7,102756.6,106102.5,114517.8,117947.4,128167.2,135124.1,145880.3,155921.9,166292.7,174650,189964.8,194646.5,202766,215155.9,230282,242862.7,249735,258827.2,264688,259958.7,271821.2,283807.3,294296.6,306153,319778.7,329493.2,339100.1
Mississippi,24023.1,24613.7,25967.3,28743.8,30138,30996.1,33530.8,35534.2,37208.5,38757,40862.1,44011.8,47340.3,51601.6,54984.3,57460.1,58339.9,60992.3,63827.2,65645.9,67028.6,68865.8,73332.2,77214.4,80995.7,85869,91057.6,96843.6,93205.6,95208.4,96371.6,99614.6,101638.1,104146,105883.4,107096.6
Missouri,57762.9,60698.6,65538,74538.8,77912,83330.3,88911.9,95760.1,101411.9,103565.7,109161.6,115288.4,118905.6,130566.7,140059.8,148256.8,163151.9,169368.7,177360.5,187296.8,191199,196597.6,204009.5,214218.1,223497.1,231771.5,240158.8,250581.1,251780,258544.1,260093.5,268761.5,277851.1,284712.5,294794.6,297582.6
Montana,10200.5,10206.5,10583.7,11010.2,10941.2,10978.7,11383.3,11702.9,12629.7,13241.9,13875.2,14936.9,16054.4,17062.1,17519.3,18118.7,19307.1,20444.9,20829.9,21885.2,22851.7,23880.5,25637.6,27939.2,30529.7,32933.3,36074.1,36862.5,35983.9,38054.6,40579.3,42005.8,43141,44495.7,46152.9,45457.9
Nebraska,20863.4,21264.8,21820,24630.5,25716.8,26044.9,26759.5,29262.2,31332.3,33734.3,35613.3,38213.6,39353.4,43504.3,45111.3,49006.9,49886,51829.3,53689.3,56503.7,59467,61604.4,66415.6,70288.8,73959,78150,83122.8,85200.6,86830.3,91812.8,99613.4,102269,107604.3,111161.7,115328,116193.8
Nevada,13202.5,13884.6,15059.8,16514,17944.9,19731.1,21950.7,24987,27846.7,30980,32785.6,36051.6,40039.1,45172.8,49249.3,54418.6,60593.4,65315,71534.9,76627.1,80426.6,84733.5,90778.8,104420.6,117856.1,127575.7,131599.8,129372.4,121109.5,123598.1,126657.1,128043,130621.4,135153.2,144232.4,151215.1
New Hampshire,10480.2,11407.4,12629.2,14766.9,16577.5,18369.2,20994,22937.3,23777.2,23767.8,24762.6,26331.8,27362.1,29190.1,31875.5,34560.6,38214.9,40557.8,41880,45225.5,46629.7,48678.5,51378.4,54126.7,56352.1,59411.6,60732.7,60918.7,61937.4,64151.6,65430.5,67689.2,70181.9,72340.1,76033.3,78477.9
New Jersey,98755,105759,117962,133571.7,145928.9,158836.4,174628.9,194708.6,205075.4,214357,221915,230774.5,240389.4,251572.6,263468,278191.1,307895.7,319946.2,336649.9,362006.9,373755.6,388337.7,405198.5,422889.1,440773.8,464458.9,480539,495121.8,486512.8,495149,499114.9,519745.8,533686.7,546686.5,569679.5,582427.5
New Mexico,18511.3,19242,19882.2,21396.6,22534.5,21807.2,22429.4,23457.2,24927.4,26600.3,30295.3,32638.4,36876.1,41684.5,42145.9,44532.1,52511.1,50682.3,53092.8,55232.9,55986.2,58055.5,62895.9,69740.7,73684.2,77426.1,80572.8,83724.2,82017.4,83989.2,86625,87601.6,88411.2,92480.7,90969,91043.6
New York,261839.6,282226.5,305287.9,339427.1,364281.1,390103.7,418305.6,456556.7,473252.3,493191.9,497336,519703.9,537504.2,555321.8,582656.3,620153.4,718322.5,745223.7,793721.1,838660.3,877149.3,886792.7,905280.6,955192,1015046.3,1071393.1,1108896,1099234.4,1152812.1,1213946.9,1236061.4,1322447.9,1355581.4,1427495.2,1487754.1,1539555.2
North Carolina,65868.8,68971.4,77543,88151.2,96535,104785.3,113262.1,124302.5,133866.3,139658.4,146367.5,159337,168005.7,181287.8,193466.7,203815,233924.3,245907.3,264063.5,275694.2,288683.5,298110,309318.2,328037.6,352394.5,383522.3,396347.6,413363.3,406477.4,415206.4,427205.6,439571,455521.6,475994.6,503628.8,519122.1
North Dakota,9954.5,9953.5,10045.5,10641.6,10655,9773.3,10305.9,9747.6,10729.5,11509.1,11691.3,12896.2,13049.3,14303.8,14841.9,16491,15730.3,16792.7,16983.7,17976.1,18919.6,20209,22077.4,23167.8,24417.3,26120,28679.7,31722.1,32002.5,35426.3,41179.2,51345.1,53881.7,58650,55012.2,50833.1
Ohio,132781.5,134636,144896.6,163854.3,174165.4,182643.6,191784.2,205307.8,217816.6,227412.9,233975.4,250649.6,259611.6,281924.7,297538.2,311120.1,343467.2,361629.1,376034.8,391137.8,395622.5,411967,424915.5,445541.1,465809.3,477180.4,490965,495742.6,480322,497208.2,525388.4,540819.3,561045.5,593355.1,610772.3,622835.2
Oklahoma,45429.9,49317.2,47700.9,51291.2,52765,48996.8,49055.3,52667,55006.8,57804.8,59632.1,62208.5,65552.1,68250.7,70859.4,76316.3,79096,81209.1,84062.9,90792.7,96767,99163,105243.3,113148.7,124563.3,137083.6,144893.3,159660,145736.4,152911.4,165035.6,173483.7,182618.4,195023.2,185936.7,178913.2
Oregon,31590.3,31594.1,33727.3,37444.3,39446.4,41730,44594.4,49138.4,52610.1,56565.6,59441,63392.3,69408.5,75393.1,81553.7,93306.4,100888.6,105111.5,107546.3,117258.3,117274.7,121229.5,127211.6,136238.5,143662.6,155153.3,161512,165189.1,160640.7,163827.6,170621.3,174493.1,179382.7,188880.2,203158.9,215050.4
Pennsylvania,138572.8,142076.5,152041.9,167390.2,176873.4,187386.1,202910.4,220582.2,233162,245280.8,255162.7,269849.2,281703.7,296601.6,312989.4,325000.7,356146.1,372738.5,389715.7,407652.8,424965.2,436985.5,455106.8,481738.9,505584.6,526396.3,560753.4,582240.2,577379.8,599312.8,618987.7,641317.3,663900.8,691187.5,711205.4,726163.9
Rhode Island,10729.5,11420.2,12323.2,13800.6,15222.5,16621.5,17890.6,19738.4,21058.5,21663.9,21737.8,22665.2,23566.4,24353.7,25549.8,26453.7,28929.9,30719.9,32295.5,34516.4,35992.1,38132.1,40272.8,43245.6,45162.4,47711.8,47845.6,47107.8,47901.4,49571.8,50175.9,51642,53209.9,54427.3,56759.4,57693.9
